client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
860c378a00fee36eb354361dae39730bfa969c53e99baf059fce0d77110157cd1f7956139d737f05755d4bcd2dda38392706dfc45829257ef778eb1901e03608	common_voice_ru_42000377.mp3	d78b54a947301bef716bf229df02b13d8a5e68366a502d8377db045b31532472	Братск — зелёный город		2	0	thirties	male_masculine			ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973153.mp3	927f73c14147ba2c6b162bc052b918ac1e075ee563ed3cdd59c08ddab9065e1c	Особенная кошка - любимица всей семьи		3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973162.mp3	7b0c111df445f3aad97d415c33c1ce6f18c22f51936c082c31e74ad4799f5bad	Верный друг всегда поддержит в трудную минуту, разделив радость и горе.		3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973189.mp3	7196641b5cdd390c3a07befe2a8493490f54d74313db178074adaa7166b8709e	Помечтайте о мире, где каждый человек может процветать.		3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973205.mp3	7f99b29190bf2a1cb5de0d89359da9ff6fba61e49690daac85997de1c89e4873	Читать текст и пытаться звучать похоже на оригинальный голос персонажа.		3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973210.mp3	8004f9a01d554bc3737d6b3ff17603c8c6c7b88988b5cd580ee503c4ad333b98	хотя все знают, что Венгрия подарила миру таких великих композиторов как Ференц Лист		3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973220.mp3	a97a8da2a05a4a0da7c3b509e2680270bd4de4bc693be95508b0a168baeb01f1	Помню, что я пошел в лес и, ища тропинки, не глядя вперед		3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973231.mp3	628751c121f3f45d1ab4babefbc470fb1027c26215619dcdcedbe2f1ce982fc4	Из комментариев экспертов, анализирующих законопроект, не всегда можно определить		3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973233.mp3	6422c9981ba98a545eb70321fa4da4f1780252b5572ab141db9f09390b3fdb89	В России были введены в обращение бумажные деньги.	history_law_government	3	0	thirties		Georgian accent,Грузинский акцент		ru	
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ru_41973245.mp3	26885b220f6af649df63e56ccf9a9d162d61e5f0aa6eede4a0497e9b8badb29f	Абак стимулирует развитие пространственного мышления и позволяет детям лучше понимать структуру чисел и операций.		3	0	thirties		Georgian accent,Грузинский акцент		ru	
